cou,country,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,change
CHE,Switzerland,9.339,9.283,8.987,8.654,8.462,8.254,7.885,7.851,7.689,7.433,7.3870000000000005,7.164,7.103,7.058,6.814,6.681,6.588,6.511,6.390000000000001,6.393000000000001,6.265000000000001,6.145,5.932,5.781000000000001,5.535,5.428,5.111,5.091,4.248
PSE,Palestinian Authority or West Bank and Gaza Strip,10.221,10.096,9.91,9.682,9.417,9.177,9.013,8.834,8.621,8.452,8.370000000000001,8.393,8.51,8.504999999999999,8.608,8.525,8.474,8.338000000000001,8.113,7.882999999999999,7.653,7.460000000000001,7.308,7.138999999999999,7.003,6.929,6.7989999999999995,6.816000000000001,3.4049999999999994
WSM,Samoa,2.99,3.0119999999999996,3.0060000000000002,2.9859999999999998,2.99,3.002,3.0549999999999997,3.1050000000000004,3.15,3.186,3.222,3.268,3.298,3.335,3.3209999999999997,3.339,3.403,3.436,3.4490000000000003,3.466,3.4939999999999998,3.614,3.412,3.359,3.245,3.268,3.109,3.2190000000000003,-0.2290000000000001
LKA,Sri Lanka,3.9240000000000004,3.661,3.6910000000000003,3.606,3.863,4.236,4.532,4.936,4.812,5.006,5.227,5.0680000000000005,5.054,5.261,5.322,5.598,5.768000000000001,5.986000000000001,6.317,6.3549999999999995,6.511,6.94,7.015000000000001,6.9719999999999995,6.976,6.902000000000001,4.405,3.654,0.27000000000000046
SYR,Syria,14.829,14.677,14.518999999999998,14.001999999999999,13.549999999999999,13.047,12.608,12.190000000000001,11.761,11.268,10.786,10.464,10.357,9.967,9.967,9.883,9.854000000000001,9.837,10.14,10.108,10.241,10.295,10.45,10.781,11.133,11.658000000000001,12.024999999999999,12.346,2.4830000000000005
TWN,Chinese Taipei,6.337,6.531,6.761,7.039,7.354,7.663,8.036000000000001,8.346,8.635,8.814,9.112,9.396,9.54,9.844,10.206,10.568000000000001,10.639,10.814,11.016,11.116,11.273,11.864999999999998,11.508,11.604,11.674,11.579,11.538,11.724,-5.3870000000000005
TJK,Tajikistan,23.552,23.215,23.017,22.668,22.679000000000002,21.557000000000002,20.467,19.239,17.999,16.787,15.754999999999999,15.197,14.619,14.166,13.783,13.523,13.895,14.209,14.426,14.682,14.96,16.069000000000003,15.207,15.692,15.259,15.603000000000002,14.738,14.975000000000001,8.576999999999998
TLS,Timor-Leste,8.007,7.725,7.445,7.0969999999999995,6.802,6.49,6.491,6.258,6.138999999999999,5.789,5.506,5.1690000000000005,4.879,4.707,4.647,4.512,4.398,4.462,4.436,4.298,4.269,4.32,4.149,4.048,3.862,3.9299999999999997,3.8689999999999998,3.71,4.297
TKM,Turkmenistan,27.756999999999998,27.433,27.164,27.451999999999998,27.256,26.343,26.522,26.417,25.424,23.558999999999997,21.579,20.976,20.468,20.14,19.922,19.585,19.463,18.994,18.052,16.477,15.291,15.126000000000001,14.497,14.579,14.045,14.34,13.799999999999999,13.805,13.951999999999998
URY,Uruguay,8.19,7.686,8.036999999999999,8.373,8.266,8.241,8.235,8.251,8.51,8.509,8.245,8.14,8.158999999999999,8.131,7.979000000000001,7.746,7.586,7.928000000000001,7.622,7.502000000000001,7.484,7.774,7.353999999999999,7.2219999999999995,6.837,6.748,6.59,6.718999999999999,1.471
UZB,Uzbekistan,16.883,17.17,17.516,17.911,18.075,17.829,17.919,17.607,17.360999999999997,16.604,15.992,16.112000000000002,16.392,16.6,16.947,17.044,17.039,17.118000000000002,17.08,16.794999999999998,16.549999999999997,17.169,16.487000000000002,16.408,15.731000000000002,16.189,15.306000000000001,15.599,1.283999999999999
VUT,Vanuatu,3.1839999999999997,3.1660000000000004,3.189,3.175,3.141,3.1519999999999997,3.226,3.3040000000000003,3.413,3.5519999999999996,3.594,3.6950000000000003,3.7750000000000004,3.827,3.8340000000000005,3.8739999999999997,3.96,4.078,4.163,4.224,4.212,4.351,4.082,4.001,3.821,3.939,3.8949999999999996,3.9370000000000003,-0.7530000000000006
VEN,Venezuela,7.167,6.9030000000000005,7.044,7.148,7.369,7.2780000000000005,7.081,6.875,7.019,6.894,6.816000000000001,7.015,7.1080000000000005,7.505,7.093999999999999,6.934000000000001,7.173,7.425000000000001,7.721,7.8069999999999995,7.647,7.83,8.022,8.013,7.968,7.962,7.723000000000001,7.973,-0.806
ZWE,Zimbabwe,4.37,4.237,4.191,4.156,4.198,4.295,4.359,4.4959999999999996,4.777,5.329000000000001,5.665,5.901,6.218,6.31,6.319,6.336,6.439,6.507,6.4559999999999995,6.379,6.255000000000001,6.207000000000001,5.98,5.84,5.616,5.341,5.275,5.327,-0.9569999999999999
TUR,Turkey,19.434,19.098,18.711,18.399,18.217,17.943,17.527,17.216,16.689,15.922,14.827,14.103000000000002,13.415,12.802999999999999,12.271,12.055,11.99,11.942,11.966999999999999,12.468,12.639,12.285,12.363,12.429,12.609000000000002,12.765,12.554000000000002,12.485999999999999,6.948000000000002
GBR,UK,12.232,11.986,11.717,11.776,11.314,11.274000000000001,10.996,10.684000000000001,10.497,10.239,9.803,9.443000000000001,9.32,9.152,8.697,8.421,8.289,8.062000000000001,7.968,7.709999999999999,7.542,7.535,7.0920000000000005,7.077,6.742,6.84,6.776,6.811999999999999,5.42
SDN,Sudan,9.155999999999999,9.294,9.238,9.008,8.742,8.275,8.094999999999999,7.885,7.632,7.412,7.314,7.333,7.335999999999999,7.239000000000001,7.129,7.2620000000000005,7.417999999999999,7.506,7.381,7.295999999999999,7.064,7.345,7.188000000000001,6.9,6.806,7.629,7.194,7.249,1.9069999999999991
TON,Tonga,2.922,3.019,3.082,3.151,3.219,3.269,3.363,3.453,3.513,3.683,3.746,3.883,4.074,4.258,4.426,4.543,4.725,4.896,5.02,5.123,5.256,5.37,5.096,5.135,5.2219999999999995,5.045999999999999,4.982,5.003,-2.081
TTO,Trinidad and Tobago,14.922,15.174,15.65,16.415,16.965,16.492,17.159,16.812,17.560000000000002,17.766,17.035,17.237,17.012,17.645,17.544,17.203000000000003,16.883,17.038,17.630000000000003,17.032,16.439,16.302,16.315,16.77,16.819,17.174,17.628,18.015,-3.093
TUN,Tunisia,9.257,9.48,9.658999999999999,9.724,9.755,9.81,9.84,10.097000000000001,10.241,10.254999999999999,10.198,10.252,10.272,10.181999999999999,10.189,10.233,10.362,10.479,10.597,10.706,10.823,10.763,10.76,11.132000000000001,11.174,11.42,11.73,11.768999999999998,-2.5119999999999987
UKR,Ukraine,20.589,21.939999999999998,23.189,24.266,25.455,27.296,27.131,25.844,24.168,25.012,25.756999999999998,25.848999999999997,26.664,26.755,27.302999999999997,27.134999999999998,26.191000000000003,27.036,26.901,23.912,22.698,22.181,21.767000000000003,21.496000000000002,20.482,24.973,24.048000000000002,22.735999999999997,-2.1469999999999985
ARE,United Arab Emirates,6.335,6.438,6.534,6.6339999999999995,6.741,6.845000000000001,6.906000000000001,6.911,6.994,7.063,6.983,6.912000000000001,6.869999999999999,6.775,6.532,6.0680000000000005,5.6850000000000005,5.631,5.698,6.148,6.259,6.564,7.016,7.585,8.120999999999999,8.951,9.477,10.106,-3.771
VNM,Viet Nam,5.119,4.992,4.899,4.788,4.715,4.636,4.614,4.601,4.647,4.709,4.774,4.968999999999999,5.132,5.373,5.569,5.78,6.051,6.3629999999999995,6.6419999999999995,6.9030000000000005,7.177,7.341,7.465,7.708,7.754,7.686999999999999,7.634,7.843,-2.724
ZMB,Zambia,10.389,10.288,10.112,9.995000000000001,9.684000000000001,9.269,8.98,8.565999999999999,8.198,7.766,7.415,6.954,6.535,6.188000000000001,6.074999999999999,5.859,5.846,5.692,5.657,5.334,5.194,5.1370000000000005,5.05,4.807,4.577,4.496,4.2989999999999995,4.2139999999999995,6.175
SRB,Serbia,12.123,11.649999999999999,12.287,12.522,12.704999999999998,13.107000000000001,13.527999999999999,14.063,13.453,13.688,14.257,14.258000000000001,14.582,15.029,15.271,15.552999999999999,15.562000000000001,15.416999999999998,15.600999999999999,15.619,15.335,16.148,15.532,15.111,15.126999999999999,15.509,14.452,14.367,-2.2440000000000015
EU28,European Union (28 countries),11.419,11.350999999999999,11.178999999999998,11.085,10.924,10.859,10.727,10.600999999999999,10.474,10.347999999999999,10.087,9.974,9.923,9.891,9.596,9.498000000000001,9.411,9.387,9.358,9.312,9.181000000000001,9.173,8.77,8.584,8.325,8.536,8.221,8.262,3.157
OECD,OECD - Total,9.658999999999999,9.588,9.432,9.378,9.244,9.171,9.036,8.934,8.87,8.793,8.578,8.486,8.44,8.411,8.214,8.178,8.125,8.120999999999999,8.145,8.17,8.093,8.177,7.869,7.785,7.558,7.631,7.338,7.404999999999999,2.2539999999999996
OECDE,OECD - Europe,12.063,11.988,11.748000000000001,11.611,11.419,11.308,11.106,10.934000000000001,10.801,10.637,10.28,10.075,9.939,9.838,9.521,9.402999999999999,9.321,9.306999999999999,9.277000000000001,9.302,9.215,9.173,8.854000000000001,8.734,8.521,8.719,8.438,8.463000000000001,3.5999999999999996
MENA,Middle East and North Africa,17.979,17.471,16.884999999999998,16.427,15.874,15.323,14.929,14.702,14.379,14.204,13.843,13.838999999999999,13.818,13.749,13.579,13.373000000000001,13.356,13.254999999999999,13.222000000000001,13.245000000000001,13.119,12.870999999999999,12.766,12.696,12.527000000000001,13.059000000000001,12.872,12.827,5.151999999999999
USA,USA,8.556000000000001,8.452,8.293,8.372,8.27,8.218,8.125,8.043,7.9879999999999995,7.999,7.935,7.9670000000000005,8.007,8.011000000000001,7.859,7.898,7.878,7.832,7.864000000000001,7.82,7.662,7.9270000000000005,7.504,7.342,7.029,6.984,6.537,6.602,1.9540000000000006
G7M,G7,8.919,8.831,8.669,8.667,8.513,8.455,8.334,8.209,8.165000000000001,8.116,7.973,7.92,7.912,7.914999999999999,7.704000000000001,7.691000000000001,7.641,7.614,7.6419999999999995,7.622999999999999,7.527000000000001,7.6530000000000005,7.279,7.19,6.906000000000001,6.95,6.612,6.666,2.253
VIR,United States Virgin Islands,6.693,6.7669999999999995,6.915,7.09,7.319,7.468999999999999,7.8,8.242999999999999,8.756,9.265,9.558,9.781,9.924,10.151,10.389,10.594000000000001,10.829,11.093,11.41,11.655999999999999,11.893,12.081,11.982,12.181999999999999,12.06,12.354,11.89,12.158000000000001,-5.465000000000002
YEM,Yemen,11.052,11.015,10.799,10.596,10.396,10.134,10.225999999999999,10.229,10.205,10.032,9.806999999999999,9.873000000000001,9.756,9.491,9.217,8.870000000000001,8.911,9.134,9.123000000000001,9.016,8.86,9.35,9.357,9.428999999999998,9.019,9.881,9.612,9.757,1.295
